Time,Used
39998.624530,168698536
39998.624553,193489128
39998.624576,185839592
39998.624600,178488240
39998.624623,170616536
39998.624646,195243456
39998.624669,187579000
39998.624692,179998728
39998.624715,172353672
39998.624739,197024256
39998.624762,189226040
39998.624785,183085536
39998.624808,175504184
39998.624831,167591200
39998.624854,192845320
39998.624877,185374080
39998.624901,177802360
39998.624924,170408472
39998.624947,195069768
39998.624970,187549800
39998.624993,180248288
39998.625016,172873432
39998.625039,197954512
39998.625063,190606256
39998.625086,183282080
39998.625109,176195312
39998.625132,170568816
39998.625155,195643984
39998.625178,188500136
39998.625201,181297408
39998.625225,174199176
39998.625248,167670880
39998.625271,192893400
39998.625294,185828584
39998.625317,178825680
39998.625340,172014216
39998.625364,197448664
39998.625387,189930856
39998.625410,182648608
39998.625433,175702760
39998.625456,168514768
39998.625479,194308296
39998.625502,186239072
39998.625526,178835440
39998.625549,171607744
39998.625572,196924272
39998.625595,189551776
39998.625618,182290216
39998.625641,175152856
39998.625664,168159584
39998.625688,193687640
39998.625711,187058592
39998.625734,179929664
39998.625757,172837976
39998.625780,198233712
39998.625803,191237048
39998.625827,184152032
39998.625850,178021816
39998.625873,170912528
39998.625896,196193432
39998.625919,189073512
39998.625942,181786712
39998.625965,174558304
39998.625989,167435776
39998.626012,192642520
39998.626035,185627408
39998.626058,178525920
39998.626081,171577608
39998.626104,197331648
39998.626127,190601080
39998.626151,184345976
39998.626174,178449872
39998.626197,173476880
39998.626220,167983232
39998.626243,195478872
39998.626266,166348000
39998.626289,166552400
39998.626313,166753376
39998.626336,166960568
39998.626359,167162240
39998.626382,167373096
39998.626405,166649856
39998.626428,179525624
39998.626452,183144336
39998.626475,187135120
39998.626498,173311280
39998.626521,191847416
39998.626544,175074440
39998.626567,189274760
39998.626591,173609120
39998.626614,190486232
39998.626637,174970752
39998.626660,191636536
39998.626683,175815968
39998.626706,191921216
39998.626730,176010088
39998.626753,193372432
39998.626776,176647656
39998.626799,193201240
39998.626822,175539408
39998.626845,191882936
39998.626868,175274352
39998.626892,189486792
39998.626915,173101840
39998.626938,189582184
39998.626961,173059568
39998.626984,187428056
39998.627007,171285320
39998.627030,187218112
39998.627054,170505208
39998.627077,185119816
39998.627100,171540256
39998.627123,182409384
39998.627146,197846744
39998.627169,180574960
39998.627193,196579096
39998.627216,178840984
39998.627239,191764888
39998.627262,174577040
39998.627285,190385736
39998.627308,173343080
39998.627331,187777120
39998.627355,170970904
39998.627378,186604768
39998.627401,169773416
39998.627424,184610632
39998.627447,166265528
39998.627470,183220576
39998.627493,198432576
39998.627517,180981744
39998.627540,196370576
39998.627563,179773848
39998.627586,192751856
39998.627609,174876632
39998.627632,188874184
39998.627655,197549104
39998.627679,180565616
39998.627702,196120448
39998.627725,177559120
39998.627748,194063744
39998.627771,176409840
39998.627794,192024288
39998.627818,174121864
39998.627841,188422504
39998.627864,172270400
39998.627887,186213888
39998.627910,169356272
39998.627933,179976392
39998.627956,192256760
39998.627979,196196136
39998.628002,192091536
39998.628026,180759512
39998.628049,186799152
39998.628072,189119456
39998.628095,190335504
39998.628118,189298456
39998.628141,188908152
39998.628165,189803376
39998.628188,189087168
39998.628211,189044560
39998.628234,188956032
39998.628257,190521688
39998.628280,166167096
39998.628303,166707192
39998.628327,166918528
39998.628350,167123048
39998.628373,167327976
39998.628396,167526344
39998.628419,121261520
39998.628442,131857568
39998.628465,151785096
39998.628489,136925768
39998.628512,149295544
39998.628535,132410040
39998.628558,143396744
39998.628581,139689344
39998.628604,151865312
39998.628627,164014392
39998.628651,150609080
39998.628674,161657176
39998.628697,172917960
39998.628720,158180032
39998.628743,169148552
39998.628766,167838872
39998.628790,180033840
39998.628813,191529088
39998.628836,178784696
39998.628859,189452016
39998.628882,200193136
