Time,CPU Usage
39998.625873,82.7
39998.625896,82.9
39998.625919,82.0
39998.625942,82.9
39998.625965,82.8
39998.625989,82.7
39998.626012,82.5
39998.626035,82.8
39998.626058,82.5
39998.626081,81.9
39998.626104,83.0
39998.626128,82.3
39998.626151,83.2
39998.626174,82.2
39998.626197,82.1
39998.626220,83.3
39998.626243,83.0
39998.626276,58.8
39998.626290,0.0
39998.626313,0.5
39998.626336,0.0
39998.626359,0.3
39998.626382,0.0
39998.626424,45.3
39998.626429,92.0
39998.626454,95.9
39998.626475,96.1
39998.626498,96.9
39998.626522,96.6
39998.626545,93.0
39998.626568,96.4
39998.626591,97.3
39998.626614,96.2
39998.626638,96.5
39998.626660,96.8
39998.626684,96.4
39998.626706,97.1
39998.626730,96.5
39998.626753,96.6
39998.626776,96.9
39998.626800,96.4
39998.626823,97.0
39998.626846,96.2
39998.626869,97.4
39998.626892,95.3
39998.626915,96.4
39998.626938,97.2
39998.626962,96.4
39998.626985,97.4
39998.627008,95.6
39998.627031,96.9
39998.627054,96.7
39998.627077,97.1
39998.627101,96.1
39998.627124,96.8
39998.627148,95.8
39998.627170,96.8
39998.627194,96.1
39998.627216,96.7
39998.627239,95.5
39998.627262,96.7
39998.627286,96.8
39998.627309,96.3
39998.627332,96.9
39998.627355,96.8
39998.627378,96.8
39998.627401,96.7
39998.627425,96.1
39998.627447,97.7
39998.627471,96.0
39998.627496,97.2
39998.627517,95.8
39998.627540,96.6
39998.627563,96.9
39998.627586,95.7
39998.627610,96.1
39998.627633,96.3
39998.627656,93.6
39998.627679,96.5
39998.627702,96.5
39998.627725,97.0
39998.627749,96.4
39998.627772,96.7
39998.627795,96.4
39998.627818,96.8
39998.627841,96.7
39998.627864,96.3
39998.627887,97.3
39998.627911,96.9
39998.627933,94.8
39998.627956,96.7
39998.627979,95.5
39998.628003,94.5
39998.628026,86.0
39998.628049,83.8
39998.628072,84.3
39998.628095,83.7
39998.628118,84.3
39998.628141,84.0
39998.628165,83.9
39998.628188,84.1
39998.628211,84.1
39998.628234,84.2
39998.628257,84.1
39998.628287,54.9
39998.628303,0.3
39998.628327,0.3
39998.628350,0.3
39998.628373,0.3
39998.628396,0.5
39998.628420,43.3
39998.628442,82.2
39998.628466,83.6
39998.628489,81.2
39998.628512,82.3
39998.628535,83.5
39998.628558,82.1
39998.628581,83.4
39998.628604,82.3
39998.628628,82.4
39998.628651,83.3
39998.628674,83.0
39998.628697,82.8
39998.628720,82.8
39998.628743,83.0
39998.628766,83.4
39998.628790,82.9
39998.628813,82.9
39998.628836,82.7
39998.628859,83.3
39998.628882,83.0
39998.628905,83.0
39998.628929,82.9
39998.628952,80.3
39998.628975,67.2
39998.628998,63.5
39998.629021,83.0
39998.629044,83.0
39998.629067,83.0
39998.629091,83.2
39998.629114,83.0
39998.629137,83.2
39998.629160,82.7
39998.629183,82.8
39998.629206,83.4
39998.629229,82.9
39998.629253,82.7
39998.629276,83.4
39998.629299,82.6
39998.629322,82.8
39998.629345,82.3
39998.629368,83.3
39998.629391,83.1
39998.629415,82.7
39998.629438,82.7
39998.629461,83.3
39998.629484,83.0
39998.629507,83.2
39998.629530,83.3
39998.629554,83.2
39998.629577,82.9
39998.629600,82.8
39998.629623,83.3
39998.629646,82.8
39998.629669,83.0
39998.629692,82.3
39998.629716,82.7
39998.629739,83.5
39998.629762,82.8
39998.629785,83.0
39998.629809,83.3
39998.629831,82.9
39998.629854,82.8
39998.629878,82.6
39998.629901,83.1
39998.629924,82.8
39998.629947,83.4
39998.629970,83.0
39998.629993,82.8
39998.630016,83.0
39998.630040,82.5
39998.630063,82.6
39998.630086,82.9
39998.630109,83.3
39998.630132,83.0
39998.630155,83.4
39998.630179,82.7
39998.630202,83.3
39998.630225,82.9
39998.630248,83.2
39998.630271,87.5
39998.630295,88.0
39998.630317,86.9
39998.630341,83.3
39998.630364,83.2
39998.630387,82.1
39998.630410,83.0
